id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,pos_src,dist_src,mag_src,pm_src,rv_src,spect_src
1647880,82067.0,150952.0,,,,,16.76328428,-35.86793309,190.1369,-14.265,-44.964,,9.04,2.645,G1 V,0.64,-49.02,-146.076,-111.405,-4.74016815e-06,2.720662207e-05,-3.358718498e-05,4.388617557,-0.6260135276,-6.91586715e-08,-2.179916233e-07,,,Sco,1,1647880,,,,,,T,G_R3,HIP,G_R3,N,T
1100083,51383.0,90970.0,,,,,10.4943895,-25.07639644,273.0339,-22.904,7.287,12.361,8.76,1.579,A1 V,0.1,-228.335,94.973,-115.719,-2.70296967e-06,3.395944414e-05,3.37794507e-06,2.747424743,-0.4376656819,-1.110417254e-07,3.53283729e-08,,,Hya,1,1100083,,,,,,T,G_R3,HIP,G_R3,G_R3,T
943985,44215.0,77385.0,,,,,9.00625513,-48.71442686,260.2535,-22.174,10.032,23.523,8.06,0.983,K2 IIICNII,1.23,-121.622,121.224,-195.562,1.77129908e-06,3.773623831e-05,-9.72475921e-06,2.357832077,-0.850227141,-1.075025855e-07,4.86365084e-08,,,Vel,1,943985,,,,,,T,G_R3,HIP,G_R3,G_R3,T
421884,26044.0,36601.0,,,,,5.55543731,8.5384925,504.2065,-0.576,0.448,65.107,7.7,-0.813,K0,1.726,57.901,495.245,74.861,9.02728463e-06,6.507581008e-05,1.097039563e-05,1.454410085,0.1490248071,-2.7925268e-09,2.1719653e-09,,,Ori,1,421884,,,,,,T,G_R3,HIP,G_R3,G_R3,T
594722,32633.0,295595.0,,,,,6.80713345,-4.81706444,568.9724,-1.542,-3.362,29.678,8.37,-0.405,K0,0.986,-118.914,554.352,-47.779,-2.02185813e-06,2.970198567e-05,-1.178854763e-05,1.782103368,-0.08407363466,-7.475827e-09,-1.62994359e-08,,,Mon,1,594722,,,,,,T,G_R3,HIP,G_R3,G_R3,T
653804,34400.0,,,,,,7.13246245,-27.75211346,881.7081,-1.287,-0.396,22.647,8.37,-1.357,K0,1.183,-227.963,746.243,-410.565,-4.9805003e-07,2.045584538e-05,-1.22825069e-05,1.867274301,-0.4843657537,-6.2395521e-09,-1.9198622e-09,,,CMa,1,653804,,,,,,T,G_R3,HIP,G_R3,G_R3,T
1555011,77520.0,141254.0,,,,,15.82767714,-38.77747654,149.8889,-18.153,-23.205,3.84,9.25,3.371,F3 V,0.44,-62.93,-98.458,-93.875,-7.07599211e-06,1.342280625e-05,-1.560522671e-05,4.143676181,-0.6767946405,-8.80082274e-08,-1.125010146e-07,,,Lup,1,1555011,,,,,,T,G_R3,HIP,G_R3,G_R3,T
1569656,78267.0,142945.0,,,,,15.98114628,-38.99758609,43.7922,-23.87,-147.736,72.993,8.0,4.793,F8 V,0.581,-17.162,-29.39,-27.558,-2.367834157e-05,-3.049866118e-05,-7.135205861e-05,4.183854308,-0.6806362768,-1.157250255e-07,-7.162443391e-07,,,Lup,1,1569656,,,,,,T,G_R3,HIP,G_R3,G_R3,T
382467,24109.0,33167.0,1668.0,,,,5.17858843,46.96207026,49.7766,57.911,-150.305,33.0,5.67,2.185,F 5 V,0.452,7.249,33.189,36.382,-3.08136497e-06,5.138505905e-05,-8.795134e-08,1.355751279,0.8196427487,2.807604505e-07,-7.286992026e-07,,,Aur,1,382467,,,,,,T,G_R3,HIP,G_R3,HYG,T
1565376,78050.0,142977.0,,,,,15.93549538,40.10550634,469.1972,20.38,-10.199,-6.68,9.04,0.683,K0,0.934,-184.658,-307.716,302.255,3.474793813e-05,-3.218814506e-05,-2.214532926e-05,4.17190293,0.699973133,9.88050281e-08,-4.94461473e-08,,,Her,1,1565376,,,,,,T,G_R3,HIP,G_R3,G_R3,T
2227826,102355.0,,,,,,20.73920353,-34.51892611,1199.9083,-3.917,-3.513,49.883,9.13,-1.266,K,1.661,649.76,-745.147,-679.962,2.84103282e-06,-3.792850403e-05,-4.57449237e-05,5.429510781,-0.6024689142,-1.89901519e-08,-1.70315046e-08,,,Mic,1,2227826,,,,,,T,G_R3,HIP,G_R3,G_R3,T
2066721,97003.0,344788.0,,,,,19.71600654,23.19293013,110.3024,59.603,-58.093,-12.662,8.81,3.597,G0,0.63,44.032,-91.328,43.44,2.885417566e-05,1.354246098e-05,-3.365468252e-05,5.161638436,0.4047929935,2.88963498e-07,-2.816428114e-07,,,Vul,1,2066721,,,,,,T,G_R3,HIP,G_R3,G_R3,T
1263954,60335.0,107595.0,,,,,12.37131389,-67.27062565,184.5963,-15.749,-11.051,16.298,8.79,2.459,F3 IV,0.427,-70.987,-6.922,-170.261,1.30086168e-06,1.428800199e-05,-1.919486861e-05,3.238802399,-1.174093906,-7.63533066e-08,-5.35767598e-08,,,Mus,1,1263954,,,,,,T,G_R3,HIP,G_R3,G_R3,T
973285,45530.0,79911.0,,,,,9.27856909,-6.71577585,545.5819,-17.358,-26.629,4.148,8.39,-0.294,K1 III,1.252,-410.036,354.202,-63.803,3.305743156e-05,3.2112466e-05,-7.044697796e-05,2.429123705,-0.1172124003,-8.41539587e-08,-1.29101035e-07,,,Hya,1,973285,,,,,,T,G_R3,HIP,G_R3,G_R3,T
2350714,107490.0,206652.0,,,,,21.77156764,-65.30789313,1787.1067,11.381,-2.19,-7.9,9.25,-2.011,C,2.45,623.065,-411.249,-1623.704,3.71134201e-05,9.364976868e-05,-5.8600137e-07,5.699783073,-1.139837761,5.5176645e-08,-1.06174196e-08,,,Ind,1,2350714,,,,,,T,G_R3,HIP,G_R3,HYG,T
953988,44656.0,78224.0,,,,,9.09916286,-36.09588423,549.232,-0.743,0.64,6.332,7.32,-1.379,K1 III,1.31,-321.852,305.56,-323.574,-3.1601121e-06,5.73013207e-06,-2.43707027e-06,2.382155264,-0.6299920255,-3.6021656e-09,3.1028076e-09,,,Pyx,1,953988,,,,,,T,G_R3,HIP,G_R3,G_R3,T
417112,25808.0,35864.0,,,,,5.51251233,53.16187867,121.0714,-9.028,-24.429,15.329,8.1,2.685,F0,0.372,9.239,71.999,96.897,7.91357522e-06,2.003040634e-05,3.95065147e-06,1.443172352,0.9278498183,-4.37689791e-08,-1.18435134e-07,,,Aur,1,417112,,,,,,T,G_R3,HIP,G_R3,G_R3,T
1713020,84980.0,157073.0,,,,,17.36843358,-23.57388148,257.1116,-6.837,-9.467,-35.468,8.24,1.189,K0 III,1.203,-38.787,-232.441,-102.827,-2.15685321e-06,3.884994772e-05,3.69088821e-06,4.547045273,-0.4114418488,-3.31467113e-08,-4.58973111e-08,,,Oph,1,1713020,,,,,,T,G_R3,HIP,G_R3,G_R3,T
1128398,52749.0,93224.0,,,,,10.78516306,58.70903699,160.2741,-9.211,-52.554,-59.996,9.56,3.536,F8,0.444,-79.069,26.031,136.961,-6.3713587e-07,7.74483137e-06,-7.364083883e-05,2.823549083,1.024665995,-4.46561881e-08,-2.547889817e-07,,,UMa,1,1128398,,,,,,T,G_R3,HIP,G_R3,G_R3,T
258217,16370.0,22166.0,,,,,3.51458744,-62.00794344,48.9419,37.982,27.524,,6.79,3.342,F7 V,0.534,13.9137,18.2769,-43.2166,-3.67759324e-06,1.004690656e-05,3.06500193e-06,0.9201168391,-1.082242774,1.841419321e-07,1.334401174e-07,,,Ret,1,258217,,,,,,T,G_R3,HIP,G_R3,N,T
221704,13779.0,,,,,,2.95588764,77.53760197,182.16,-13.209,2.112,-16.532,9.44,3.138,F2,0.354,28.115,27.473,177.868,4.24007274e-06,-1.216592024e-05,-1.610634481e-05,0.7738495737,1.353286447,-6.40390391e-08,1.02392649e-08,,,Cep,1,221704,,,,,,T,G_R3,HIP,G_R3,G_R3,T
6540,386.0,,,,,,0.08026398,68.18869477,1074.7779,-1.372,-1.047,,9.1,-1.057,B2,0.652,399.247,8.391,997.837,5.21367362e-06,-7.04122065e-06,-2.02697158e-06,0.0210130608,1.190117235,-6.6516437e-09,-5.0759992e-09,,,Cep,1,6540,,,,,,T,G_R3,HIP,G_R3,N,T
